id,title,severity,active,verified,mitigated,cwe,test_type,date,sla_expiration_date
215,CVE-2025-15467 Libssl3 3.0.17-1~deb12u2,Critical,True,True,False,787,Trivy Scan,2026-04-13,2026-04-20
231,CVE-2023-46233 Crypto-Js 3.3.0,Critical,True,True,False,328,Trivy Scan,2026-04-13,2026-04-20
241,CVE-2015-9235 Jsonwebtoken 0.1.0,Critical,True,True,False,20,Trivy Scan,2026-04-13,2026-04-20
246,CVE-2015-9235 Jsonwebtoken 0.4.0,Critical,True,True,False,20,Trivy Scan,2026-04-13,2026-04-20
253,CVE-2019-10744 Lodash 2.4.2,Critical,True,True,False,1321,Trivy Scan,2026-04-13,2026-04-20
259,GHSA-5mrr-rgp6-x4gr Marsdb 0.6.11,Critical,True,True,False,,Trivy Scan,2026-04-13,2026-04-20
337,CVE-2023-32314 Vm2 3.9.17,Critical,True,True,False,74,Trivy Scan,2026-04-13,2026-04-20
338,CVE-2023-37466 Vm2 3.9.17,Critical,True,True,False,94,Trivy Scan,2026-04-13,2026-04-20
339,CVE-2023-37903 Vm2 3.9.17,Critical,True,True,False,78,Trivy Scan,2026-04-13,2026-04-20
340,CVE-2026-22709 Vm2 3.9.17,Critical,True,True,False,94,Trivy Scan,2026-04-13,2026-04-20
349,GHSA-whpj-8f3w-67p5 in vm2:3.9.17,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
350,GHSA-g644-9gfx-q4q4 in vm2:3.9.17,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
351,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.1.0,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
352,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.4.0,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
353,GHSA-cchq-frgv-rjh5 in vm2:3.9.17,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
357,GHSA-jf85-cpcp-j695 in lodash:2.4.2,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
359,GHSA-xwcq-pm8m-c4vf in crypto-js:3.3.0,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
360,CVE-2025-15467 in libssl3:3.0.17-1~deb12u2,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
412,GHSA-99p7-6v5w-7xg8 in vm2:3.9.17,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
439,CVE-2025-55130 in node:22.18.0,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
467,GHSA-5mrr-rgp6-x4gr in marsdb:0.6.11,Critical,True,False,False,,Anchore Grype,2026-04-13,2026-04-20
193,output.juice-shop-eval,High,True,False,False,95,Semgrep JSON Report,2026-04-13,2026-05-13
197,output.juice-shop-sql-string-interpolation,High,True,False,False,89,Semgrep JSON Report,2026-04-13,2026-05-13
199,output.juice-shop-eval,High,True,False,False,95,Semgrep JSON Report,2026-04-13,2026-05-13
201,CVE-2025-4802 Libc6 2.36-9+deb12u10,High,True,True,False,426,Trivy Scan,2026-04-13,2026-05-13
202,CVE-2026-0861 Libc6 2.36-9+deb12u10,High,True,True,False,190,Trivy Scan,2026-04-13,2026-05-13
216,CVE-2025-69419 Libssl3 3.0.17-1~deb12u2,High,True,True,False,787,Trivy Scan,2026-04-13,2026-05-13
217,CVE-2025-69421 Libssl3 3.0.17-1~deb12u2,High,True,True,False,476,Trivy Scan,2026-04-13,2026-05-13
227,NSWG-ECO-428 Base64url 0.0.6,High,True,True,False,,Trivy Scan,2026-04-13,2026-05-13
229,CVE-2024-4068 Braces 2.3.2,High,True,True,False,1050,Trivy Scan,2026-04-13,2026-05-13
235,CVE-2020-15084 Express-JWT 0.1.3,High,True,True,False,285,Trivy Scan,2026-04-13,2026-05-13
236,CVE-2025-64756 Glob 10.4.5,High,True,True,False,78,Trivy Scan,2026-04-13,2026-05-13
238,CVE-2022-25881 HTTP-Cache-Semantics 3.8.1,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
239,CVE-2024-29415 Ip 2.0.1,High,True,True,False,918,Trivy Scan,2026-04-13,2026-05-13
242,CVE-2022-23539 Jsonwebtoken 0.1.0,High,True,True,False,327,Trivy Scan,2026-04-13,2026-05-13
243,NSWG-ECO-17 Jsonwebtoken 0.1.0,High,True,True,False,,Trivy Scan,2026-04-13,2026-05-13
247,CVE-2022-23539 Jsonwebtoken 0.4.0,High,True,True,False,327,Trivy Scan,2026-04-13,2026-05-13
248,NSWG-ECO-17 Jsonwebtoken 0.4.0,High,True,True,False,,Trivy Scan,2026-04-13,2026-05-13
251,CVE-2016-1000223 JWS 0.2.6,High,True,True,False,,Trivy Scan,2026-04-13,2026-05-13
252,CVE-2025-65945 JWS 0.2.6,High,True,True,False,347,Trivy Scan,2026-04-13,2026-05-13
254,CVE-2018-16487 Lodash 2.4.2,High,True,True,False,400,Trivy Scan,2026-04-13,2026-05-13
255,CVE-2021-23337 Lodash 2.4.2,High,True,True,False,94,Trivy Scan,2026-04-13,2026-05-13
258,CVE-2020-8203 lodash.set 4.3.2,High,True,True,False,770,Trivy Scan,2026-04-13,2026-05-13
262,CVE-2026-26996 Minimatch 3.0.5,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
263,CVE-2026-27903 Minimatch 3.0.5,High,True,True,False,407,Trivy Scan,2026-04-13,2026-05-13
264,CVE-2026-27904 Minimatch 3.0.5,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
265,CVE-2026-26996 Minimatch 3.0.8,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
266,CVE-2026-27903 Minimatch 3.0.8,High,True,True,False,407,Trivy Scan,2026-04-13,2026-05-13
267,CVE-2026-27904 Minimatch 3.0.8,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
268,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
269,CVE-2026-26996 Minimatch 3.1.2,High,True,True,False,1333,Trivy Scan,2026-04-13,2026-05-13
